Name,Spec
다나(DANA) 멸균 우유 풀 크림 1L,흰우유/포장형태: 테트라팩/특징: 멸균제품/1L
다나(DANA) 우유 풀크림 1L (멸균),"흰우유/포장형태: 팩/특징: 멸균우유, 수입/
[영양정보] 1회 제공량 100ml당 열량: 64kcal/탄수화물: 4.8g/당류:4.8g/단백질: 3.3g/지방: 3.5g/포화지방: 2.3g/트랜스지방: 0.1g/콜레스테롤: 10mg/나트륨: 50mg"
담터 자판기 우유맛 한잔 22g 10개입 2개/스틱,
담터 자판기 우유맛 한잔 22g 10개입 3개,
동서식품 제티 쵸코렛맛 드링크 175ml,초코우유/포장형태: 캔
동원F&B 덴마크 대니쉬 the 건강한 우유 200ml (멸균),"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 200ml당 열량: 125kcal"
동원F&B 덴마크 대니쉬 더 건강한 우유 900ml,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 200ml당 열량: 125kcal/탄수화물: 9g/당류: 9g/단백질: 6g/지방: 7g/포화지방: 4.8g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 100mg/칼슘: 200mg"
동원F&B 덴마크 대니쉬 우유 동물복지 750ml,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 3.5g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 50mg/칼슘: 100mg"
동원F&B 덴마크 대니쉬 우유 무항생제 750ml,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 3.5g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 50mg/칼슘: 100mg"
동원F&B 덴마크 더 진하고 달콤한 딸기딸기우유 300ml,"딸기우유/포장형태: 팩/
[영양정보] 1회 제공량 300ml당 열량: 230kcal"
동원F&B 덴마크 덴마크 산양우유 750ml,흰우유/포장형태: 페트
동원F&B 덴마크 동원 산양프로틴 우유 750ML,
동원F&B 덴마크 모닝시리얼 그래놀라 우유 190ml (멸균),"가공우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 145kcal"
동원F&B 덴마크 모닝시리얼 약콩 우유 190ml (멸균),"가공우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 155kcal"
동원F&B 덴마크 목장 오리지널 무항생제인증 우유 120ml (멸균),"흰우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 120ml당 열량: 75kcal/탄수화물: 6g/당류: 6g/단백질: 4g/지방: 4g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 65mg"
동원F&B 덴마크 무항생제 멸균우유 120ml 32팩 1세트,
동원F&B 덴마크 바나바나우유 300ml,바나나우유/마시는타입/300ml
동원F&B 덴마크 부스팅즈 초코드링크 190ml (멸균),"초코우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 170kcal"
동원F&B 덴마크 부스팅즈 커피드링크 190ml,커피우유/포장형태: 팩
동원F&B 덴마크 부스팅즈 커피드링크 190ml (멸균),"커피우유/포장형태: 팩/특징: 멸균우유/
[영양정보] 1회 제공량 190ml당 열량: 137kcal"
동원F&B 덴마크 산양우유 750ml 6개,
동원F&B 덴마크 소화가 잘 되는 우유 락토프리 180ml,포장형태: 팩/특징: 락토프리/180ml
동원F&B 덴마크 소화가 잘되는 우유 락토프리 180ml (멸균),포장형태: 팩/특징: 락토프리
동원F&B 덴마크 소화가 잘되는 우유 락토프리 190ml (멸균),"흰우유/포장형태: 팩/특징: 멸균우유, 락토프리/
[영양정보] 1회 제공량 180ml당 열량: 120kcal"
동원F&B 덴마크 소화가 잘되는 우유 락토프리 2.3L,"흰우유/포장형태: 페트/특징: 락토프리/
[영양정보] 1회 제공량 100ml당 열량: 65kcal"
동원F&B 덴마크 소화가 잘되는 우유 락토프리 900ml,"흰우유/포장형태: 팩/특징: 락토프리/
[영양정보] 1회 제공량 100ml당 열량: 65kcal/탄수화물: 5g/당류: 5g/단백질: 3g/지방: 3.8g/포화지방: 2.7g/트랜스지방: 0g/콜레스테롤: 15mg/나트륨: 50mg/칼슘: 100mg"
동원F&B 덴마크 유기농 우유 120ml (멸균),"흰우유/포장형태: 팩/특징: 멸균우유, 유기농/
[영양정보] 1회 제공량 120ml당 열량: 80kcal"
동원F&B 덴마크 초코초코우유 300ml,"초코우유/포장형태: 팩/
[영양정보] 1회 제공량 200ml당 열량: 225kcal/탄수화물: 35g/당류: 34g/단백질: 6g/지방: 7g/포화지방: 5g/트랜스지방: 0g/콜레스테롤: 20mg/나트륨: 105mg"
동원F&B 덴마크 커피커피 우유 300ml,커피우유/마시는 요구르트
동원F&B 소와나무 고칼슘 우유 900ml,흰우유/포장형태: 팩
동원홈푸드 비비드 스위트 저당 초코라떼 200ml,"초코우유/포장형태: 파우치/
[영양정보] 1회 제공량 200ml당 열량: 150kcal"
롯데마트 오늘좋은 1등급 우유 930ml,"흰우유/포장형태: 팩/
[영양정보] 1회 제공량 100ml당 열량: 65kcal"
롯데마트 오늘좋은 1등급 저지방 우유 900ml,"흰우유/포장형태: 팩/특징: 저지방/
[영양정보] 1회 제공량 100ml당 열량: 48kcal"
롯데웰푸드 파스퇴르 우유 바나나 190ml 48개,
롯데칠성음료 가나 초코라떼 175ml,"초코우유/포장형태: 캔/
[영양정보] 1회 제공량 175ml당 열량: 90kcal/탄수화물: 20g/당류: 19g/단백질: 2g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스트롤: 5mg 미만/나트륨: 60mg"
롯데푸드 파스퇴르 LB-9 유산균 우유 700ml,"흰우유/포장형태: 페트/
[영양정보] 1회 제공량 200ml당 열량: 135kcal/탄수화물: 10g/당류: 10g/단백질: 6g/지방: 8g/포화지방: 5g/트랜스지방: 0g/콜레스테롤: 25mg/나트륨: 110mg/칼슘: 220mg"
