Name,Spec,Name
롯데푸드 빠삐코,아이스크림/튜브(쭈쭈바)
롯데푸드 빵빠레 샌드,아이스크림/샌드/특징: 한박스
롯데푸드 아맛나,아이스크림/바(막대)/특징: 한박스
롯데푸드 유러피안 디저트 쿠키오,아이스크림/샌드
롯데푸드 유러피안 디저트 쿠키오 홈,"아이스크림/컵,파우치/특징: 한박스"
롯데푸드 초코퍼지 크런치바,아이스크림/바(막대)
롯데푸드 파스퇴르 진한우유 모나카,"140ml/알레르기성분: 대두, 밀, 우유/냉동보관/지방: 6g"
롯데푸드 파스퇴르 진한우유 아이스크림 모나카,아이스크림
롯데푸드 파스퇴르 진한우유 파인트,"아이스크림/컵,파우치/알레르기성분: 우유/냉동보관/표시기준분량: 100ml/열량: 195kcal/탄수화물: 18g/당류: 15g/단백질: 3g/지방: 12g/포화지방: 10g/트랜스지방: 0.5g 미만/콜레스테롤: 13%/나트륨: 95mg"
루체스 돌핀 폴라레티 바이오,아이스크림/400ml/10개입/표시기준분량: 40ml/열량: 32kcal/탄수화물: 8g/당류: 6.4g
루체스 돌핀 폴라레티 후르츠,"아이스크림/400ml/10개입/
[영양정보] 표시기준분량: 120ml(3개)/열량: 99kcal/탄수화물: 25g/당류: 23g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 0mg"
루체스 돌핀 폴라레티 후르츠 아이스바,아이스크림
리타티하우스 팥빙수용 냉동 인절미 빙수떡 아침대용,빙수/1kg
마하 냉동 파인애플 샤베트 아이스크림,샌드
마하 파인애플 아이스 샤베트,"튜브,파우치"
마하 파인애플샤베트입냉동 파인샤베트,아이스크림
맛있는가 매그넘 4종골라담기 라이브 싱글증.정 미니클래식아몬드아몬드리믹스,아이스크림
맛있는가 폴 바셋 밀크 젤라또 미니컵입,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
맛있는가 폴 바셋 커피 젤라또 미니컵입,아이스크림
망고 코코넛 포멜로 사고 아이스크림,
망고바,
매일 상하목장 유기농아이스크림 밀크 미니컵,"아이스크림/컵,파우치"
매일 연유유업 가당연유 대용량,과자/초콜릿/디저트/아이스크림/빙수/빙수재료
매일유업 매일 연유,"빙수/시럽,연유"
매일유업 매일 연유가당연유 대용량,빙수
매일유업 매일 연유 소프트,"시럽,연유/500g/알레르기성분: 우유"
매일유업 매일 연유 스위트,"시럽,연유/1kg/리필형/저염/인증정보: HACCP/알레르기성분: 우유/원산지: 국산(원유)/표시기준분량: 100g/열량: 310kcal/탄수화물: 50g/당류: 50g/단백질: 9g/지방: 8.0g/포화지방: 5g/트랜스지방: 0.2g/콜레스테롤: 25mg/나트륨: 110mg"
매일유업 매일 연유 스위트 파우치,빙수
매일유업 매일우유 아이스 크림떡 우유크림+인절미크림총입,아이스크림
매일유업 매일우유 아이스 크림떡 우유크림,아이스크림
매일유업 매일우유 아이스 크림떡 우유크림[],아이스크림
매일유업 매일우유 아이스 크림떡 인절미크림,아이스크림
매일유업 매일유업 매일 연유 가당,빙수
매일유업 상하 아이스크림 딸기 파인트,"컵,파우치"
매일유업 상하 아이스크림 밀크 컵,과자/초콜릿/디저트/아이스크림/빙수/빙수재료
매일유업 상하 얼려먹는 아이스크림 밀크+망고+초코+전용홀더,아이스크림
매일유업 상하목장 소프트믹스 OM 10 냉장포장,아이스크림
매일유업 상하목장 소프트믹스 OM10,아이스크림 믹스
매일유업 상하목장 소프트믹스 초콜릿아이스크림,아이스크림
매일유업 상하목장 아이스크림 밀크,아이스크림
매일유업 상하목장 아이스크림 파인트 3종 혼합세트,"아이스크림/컵,파우치/474ml"
매일유업 상하목장 얼려먹는 아이스주스 3종 혼합/음료/음료수,아이스크림
매일유업 상하목장 얼려먹는 아이스주스 망고,"아이스크림/85ml/인증정보: HACCP, 유기농/표시기준분량: 85ml/열량: 155kcal/탄수화물: 20g/당류: 17g/단백질: 3.5g/지방: 7g/포화지방: 4.4g/트랜스지방: 0.5g미만/콜레스테롤: 20mg/나트륨: 75mg"
매일유업 상하목장 얼려먹는 아이스주스 망고맛/음료/음료수,아이스크림
매일유업 상하목장 얼려먹는 아이스크림 망고,"아이스크림/컵,파우치/아이스주스"
매일유업 상하목장 얼려먹는 아이스크림 망고+ 밀크,"아이스크림/85ml/알레르기성분: 계란, 우유"
매일유업 상하목장 얼려먹는 아이스크림 밀크,"아이스크림/컵,파우치/아이스주스"
매일유업 상하목장 얼려먹는 아이스크림 밀크+ 초코,아이스크림/85ml
매일유업 상하목장 얼려먹는 아이스크림 밀크+ 초코+ 망고,"아이스크림/85ml/알레르기성분: 계란, 우유"
매일유업 상하목장 얼려먹는 아이스크림 밀크+ 얼려먹는 아이스크림 망고,"아이스크림/컵,파우치/아이스주스"
매일유업 상하목장 얼려먹는 아이스크림 세트,아이스크림/밀크 85ml x 6개/초코 85ml x 6개/망고 85ml x 6개
매일유업 상하목장 얼려먹는 아이스크림 우유맛음료 음료수,아이스크림
매일유업 상하목장 얼려먹는 아이스크림 초코,"아이스크림/알레르기성분: 우유/
[영양정보] 표시기준분량: 85ml/열량: 160kcal/탄수화물: 21g/당류: 17g/단백질: 3.5g/지방: 7g/포화지방: 4.8g/트랜스지방: 0.5g미만/콜레스테롤: 20mg/나트륨: 55mg"
매일유업 상하목장 얼려먹는 아이스크림 초코맛/음료/음료수,아이스크림
매일유업 상하목장 유기농 아이스크림 딸기,아이스크림
매일유업 상하목장 유기농 아이스크림 밀크,아이스크림/100ml
매일유업 상하목장 하트바이트 쿠키앤크림,"아이스크림/샌드/33ml/알레르기성분: 대두, 밀, 우유/냉동보관/유기농우유26.9%/열량: 95kcal/탄수화물: 8.4g/당류: 6g/단백질: 1.3g/지방: 6.2g/포화지방: 4.4g/콜레스테롤: 5mg/나트륨: 25mg"
매일유업 상하목장 하트바이트 쿠키앤크림+ 피스타치오,"아이스크림/샌드/피스타치오31ml,쿠키앤크림33ml/알레르기성분: 대두, 밀, 우유/냉동보관/열량: 쿠키앤크림95kcal,피스타치오75kcal"
매일유업 상하목장 하트바이트 피스타치오,"아이스크림/샌드/31ml/알레르기성분: 대두, 우유/냉동보관/유기농우유31.6%/열량: 75kcal/탄수화물: 6g/당류: 6g/단백질: 1g/지방: 5.4g/포화지방: 3.3g/콜레스테롤: 5mg/나트륨: 15mg"
매일유업 소프트믹스아이스크림 유지방10 / 냉장,아이스크림
매일유업 소프트믹스 식물성지방 5% 바닐라향 하이믹스,
매일유업 소프트믹스 식물성지방5% 바닐라향입/아이스크림쉐이크용/소프트아이스크림/카페용,아이스크림
매일유업 소프트믹스 유지방 5 실온보관,아이스크림
매일유업 소프트믹스 크리미+프레쉬총입/아이스크림믹스,
매일유업 소프트믹스 프레시,
매일유업 스위트연유파우치 국산원유 팥빙수 크로플 홈카페 디저트 박스포장,아이스크림
매일유업 얼려먹는 요구르트 엔요 X입 1box /유산균/간식,아이스크림
매일유업 얼려먹는 요구르트 엔요 X입 낱개 /유산균/간식,아이스크림
매일유업 얼려먹는 요구르트 엔요 X입/유산균/간식,아이스크림
매일유업 엔요 얼려먹는 요구르트,"아이스크림/튜브,파우치/85ml/인증정보: HACCP/열량: 75kcal/탄수화물: 19g/당류: 14g/나트륨: 26mg"
매일유업 연유가당연유,빙수
매일유업 연유,빙수
매일유업 연유 가당,빙수
매일유업 연유 스위트 파우치,빙수
매일유업 연유 스위트 파우치 커피 및 음료전용,빙수
매일유업 유업 소프트믹스 프레쉬 M5아이스크림 5,
맥그로우앤마리 블루베리,빙수
맥콜스 바닐라맛아이스크림,"아이스크림/컵,파우치/특징: 대용량(업소용)"
메가MGC커피 메가커피 바리스타퀸 연유 파우더,빙수
메가커피 NFS 크림샌드 분태,빙수/재료
메가커피 나타드코코,
메가커피 메가커피 나타드코코,
명성제과 오색 빙수제리,빙수/젤리
몬델리즈 오레오 분쇄쿠키,빙수
미성패밀리 오키오 트로피칼 바,아이스크림
미잠미과 미잠미과 쌀인절미쿠키,빙수재료
밀크맛 눈꽃빙수 파우더,
밀크맛 눈꽃빙수 파우더12Bag,빙수
밀탑 얼려먹는 밀크 빙수+ 복음자리 통통단팥,아이스크림
밀탑 얼려먹는 밀크빙수+ 통통단팥,빙수
바이오믹스푸드시스템 바리스타퀸 눈꽃빙수용 밀크 베이스,빙수/재료
바이오믹스푸드시스템 바이오믹스 젤라또요거트,아이스크림
바이오믹스푸드시스템 바이오믹스 테이트 치즈케익 젤라또 4.5K,
바이오믹스푸드시스템 바이오믹스 프리모젤라또 네임텍 업소용,
백미당 모나카 아이스크림입 세트,아이스크림/샌드/2.94kg/인증정보: HACCP
백미당 우유 모나카,아이스크림
백미당 우유 모나카 아이스크림입총,샌드
백미당 우유아이스크림,"아이스크림/컵,파우치/135ml/표시기준분량: 135ml/열량: 240kcal/탄수화물: 20g/당류: 20g/단백질: 4g/지방: 15.4g/포화지방: 11g/트랜스지방: 0.6g/콜레스테롤: 95mg/나트륨: 80mg"
백미당 초코아이스크림,"아이스크림/컵,파우치/135ml/표시기준분량: 135ml/열량: 205kcal/탄수화물: 20g/당류: 19g/단백질: 4g/지방: 12.1g/포화지방: 7.7g/트랜스지방: 0.5g미만/콜레스테롤: 25mg/나트륨: 55mg"
베스트 막대바 10종세트,아이스크림
벤앤제리스 뉴욕 수퍼퍼지청크 아이스크림 파인트,"아이스크림/컵,파우치"
벤앤제리스 민트초코쿠키 아이스크림 파인트,"아이스크림/컵,파우치"
벤앤제리스 체리 가르시아 아이스크림 파인트,"아이스크림/컵,파우치"
벤앤제리스 초콜릿칩 쿠키도우 아이스크림 파인트,"아이스크림/컵,파우치"
벤앤제리스 하프베이크드 아이스크림 파인트,"아이스크림/컵,파우치"
복음자리 밀크쉐이크 파우더,빙수
복음자리 밀크쉐이크 파우더 세트,빙수
복음자리 통통단팥,빙수/팥/120g/당침통팥50%/원산지: 팥(국내산)
부국 빙수떡+빙수제리팥빙수 토핑,
부국 빙수떡+빙수제리총,빙수
부국 빙수떡+빙수제리,빙수
부국 빙수떡,빙수
부국 빙수떡+빙수제리+딸기시럽,빙수
부국 빙수떡+빙수제리+딸기시럽+연유,빙수
부국 빙수떡+빙수제리+초코시럽+연유,빙수
부국 빙수떡+빙수제리+초코시럽,빙수
부국 빙수재료 빙수떡 +빙수제리 +딸기시럽 +연유 +팥,빙수
부국 빙수제리,빙수
부국 빙수제리팥빙수재료 토핑,빙수
부국에프앤씨 부국 빙수제리,빙수
부국에프앤씨 빙수제리,빙수/젤리/150g/무지방/무염/표시기준분량: 100g/열량: 350kcal/탄수화물: 88g/당류: 79g/단백질: 0g/지방: 0g/포화지방: 0g/트랜스지방: 0g/콜레스테롤: 0%/나트륨: 0mg
부국에프앤씨 오씨아니 빙수떡,빙수/떡
블랙 타피오카펄/버블티 스무디 에이드,
비나밀크 응오이사오 프엉남 연유,"빙수/시럽,연유"
비정규직 황후 1 퀸즈셀렉션,
비정규직 황후 2 퀸즈셀렉션,
비정규직 황후 3/퀸즈셀렉션,
빅트레인 타코 리얼 쿠키앤크림 딜라이트,빙수
빅트레인 타코 리얼 쿠키앤크림 딜라이트 파우더세트,빙수
빙그레 G 끌레도르 카톤 바 아이스크림마다가스카르 바닐라아몬드 청정제주녹차 딸기 초코,아이스크림
빙그레 G 따옴바 5종 딸기/패션프루트/복숭아/포도/파인애플/아이스크림,아이스크림
빙그레 G 붕어싸만코/빵또아 8종/아이스크림,샌드
빙그레 G 비비빅+ 흑임자바 아이스크림 혼합,아이스크림
빙그레 G 슈퍼콘/요맘때콘 6종세트 /아이스크림,콘
빙그레 G 아이스크림모음 / 비비빅흑임자 뽕따소다 더위사냥 엔초 따옴바,아이스크림
빙그레 G 엑설런트,아이스크림
빙그레 G 쿠앤크바+ 카페오레+ 엔초바 아이스크림 혼합,아이스크림
빙그레 G 투게더 3+세트 /아이스크림,아이스크림
빙그레 T 따옴바 복숭아/딸기/패션프루트/포도/파인애플,아이스크림
빙그레 T 비비빅+ 흑임자아이스크림,아이스크림
빙그레 T 슈퍼콘 초코 바닐라 쿠앤크 민트초코 아이스크림,콘
빙그레 T 투게더 아이스크림 초콜릿,아이스크림
빙그레 그라시아 쿠앤크,"아이스크림/컵,파우치"
빙그레 그라시아 쿠앤크 카라멜파인트 아이스크림,아이스크림
빙그레 그라시아 쿠앤크 카라멜,"아이스크림/컵,파우치"
빙그레 그라시아 쿠앤크 파인트/ 아이스크림,아이스크림
빙그레 까페오레+엔초,아이스크림
빙그레 까페오레+엔초아이스크림 바 초등 중등 간식 별미 학원 유치원 야유회 사무실,아이스크림
빙그레 까페오레아이스크림,아이스크림
빙그레 까페오레,"아이스크림/75ml/알레르기성분: 대두, 땅콩, 우유/
[영양정보] 표시기준분량: 75ml/열량: 135kcal/탄수화물: 14g/당류: 12g/단백질: 1.3g/지방: 8g/포화지방: 6g/트랜스지방: 0g/콜레스테롤: 5mg미만/나트륨: 60mg"
빙그레 까페오레바입 /아이스크림,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
빙그레 끌레도르 5종베리믹스/쿠키앤초코/쿠키앤크림/블루베리/츄러스앤크림 바 아이스크림,아이스크림
빙그레 끌레도르 구운 피스타치오,"아이스크림/바(막대)/90ml/알레르기성분: 대두, 우유/표시기준분량: 90ml/열량: 220kcal/탄수화물: 19g/당류: 17g/단백질: 5%/지방: 15g/포화지방: 9g/트랜스지방: 0.5g/콜레스테롤: 7g/나트륨: 75mg"
빙그레 끌레도르 구운피스타치오 바,아이스크림/바(막대)
빙그레 끌레도르 기획세트 2 /바 6종 12+골라담기,아이스크림
빙그레 끌레도르 끌레도르 파인트 더블쿠키,아이스크림
빙그레 끌레도르 더단백바 2종 카라멜/초코/단백질 아이스크림,아이스크림
빙그레 끌레도르 더블쿠키 페스티벌 파인트,"아이스크림/컵,파우치"
빙그레 끌레도르 레드카펫 치즈케익 파인트,"아이스크림/컵,파우치"
빙그레 끌레도르 레드카펫 치즈케익컵,아이스크림
빙그레 끌레도르 마다가스카르 바닐라 아몬드바+딥 초콜릿,아이스크림
빙그레 끌레도르 미니컵 2종아이스크림,아이스크림
빙그레 끌레도르 미니컵 쇼콜라 치즈케익,아이스크림
빙그레 끌레도르 바제주녹차6+마다가스카르 바닐라아몬드6 /아이스크림,아이스크림
빙그레 끌레도르 바 5종골라담기 /초코/녹차/딸기/바닐라/크림치즈,아이스크림
빙그레 끌레도르 바 5종 5+골라담기 /초코/녹차/딸기/바닐라/크림치즈,아이스크림
빙그레 끌레도르 바 6종 /쿠키앤크림 쿠키앤초코 베리믹스 크림치즈 크림치즈블루베리 카페라떼비스킷 끌레도르 바 쿠키앤크림,
빙그레 끌레도르 바 6종/바닐라/커피/쿠키앤크림/베리믹스,아이스크림
빙그레 끌레도르 바 베리믹스바,
빙그레 끌레도르 베리믹스 바,아이스크림/바(막대)
빙그레 끌레도르 쇼콜라 치즈케익컵,"아이스크림/컵,파우치"
빙그레 끌레도르 쇼콜라 치즈케익컵+ 레드카펫 치즈케익컵,"아이스크림/컵,파우치"
빙그레 끌레도르 아이스크림 바/ 베리믹스 크림치즈 쿠키앤크림 쿠키앤초코 블루베리 카페라떼,아이스크림
빙그레 끌레도르 아이스크림 클린라벨 초코 커피 딸기 녹차,아이스크림
빙그레 끌레도르 초코프레첼 브라우니,
빙그레 끌레도르 카토닝 바 딥 초콜릿입,아이스크림
빙그레 끌레도르 카토닝바 5종골라담기 초코 녹차 딸기 바닐라 크림치즈,아이스크림
빙그레 끌레도르 카톤 바 끼리크림치즈,아이스크림/바(막대)
빙그레 끌레도르 카톤 바 마다가스카르 바닐라아몬드 아이스크림끌레도르 카톤바 바닐라 아몬드,아이스크림
빙그레 끌레도르 카톤 바 바닐라 아몬드,아이스크림/바(막대)
빙그레 끌레도르 카톤 바 설향 딸기,아이스크림/바(막대)
빙그레 끌레도르 카톤 바 아메리칸 딥 초콜릿아이스크림,아이스크림
빙그레 끌레도르 카톤 바 아메리칸 딥 초콜릿,아이스크림/바(막대)
빙그레 끌레도르 카톤 바 아메리칸 딥 초콜릿 아이스크림끌레도르 카톤바 아메리칸 딥 초콜릿,아이스크림
빙그레 끌레도르 카톤 바 아이스크림/ 바닐라아몬드 / 청정제주녹차 / 딸기 / 초콜릿 카톤 바 청정 제주 녹차,아이스크림
빙그레 끌레도르 카톤 바 청정 제주 녹차,아이스크림/바(막대)
빙그레 끌레도르 카톤 바 혼합아몬드4+녹차2+초코2+딸기2,아이스크림
빙그레 끌레도르 카톤 바 혼합아몬드5+녹차5+초코5+딸기5,아이스크림
빙그레 끌레도르 카페라떼 비스킷바 아이스크림,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
빙그레 끌레도르 카페라떼 비스킷 바 아이스크림,아이스크림
빙그레 끌레도르 컵세트 / 아이스크림,
빙그레 끌레도르 쿠키앤초코 바,아이스크림/바(막대)
빙그레 끌레도르 쿠키앤크림 바,아이스크림/바(막대)
빙그레 끌레도르 크림치즈블루베리 바,아이스크림/바(막대)
빙그레 끌레도르 클린라벨 녹차 파인트,"아이스크림/컵,파우치"
빙그레 끌레도르 클린라벨 딸기 파인트,"아이스크림/컵,파우치"
빙그레 끌레도르 클린라벨 초코 파인트,"아이스크림/컵,파우치"
빙그레 끌레도르 클린라벨 커피 파인트,"아이스크림/컵,파우치"
빙그레 끌레도르 클린라벨 파인트+골라담기 /커피,
빙그레 더 엑설런트 오리지널,"아이스크림/컵,파우치/특징: 한박스"
빙그레 더 엑설런트 클래식,아이스크림/800ml/원유 51%
빙그레 더단백 단백질 아이스크림 초코+카라멜,
빙그레 더위사냥 제로 디카페인 커피,아이스크림/바(막대)/제로슈거/140ml/알레르기성분: 우유/열량: 85kcal/탄수화물: 26g/당류: 0g/단백질: 0.5g/지방: 22.4g/포화지방: 2.1g/나트륨: 55mg
빙그레 더위사냥 제로 디카페인 커피+ 생귤탱귤 제로 감귤,아이스크림
빙그레 더위사냥 커피,"아이스크림/컵,파우치"
빙그레 더위사냥/뽕따 2종 15+세트 /아이스크림/간식,아이스크림
빙그레 따옴바 3종 혼합복숭아+ 딸기+ 패션프루트바 아이스크림,아이스크림
빙그레 따옴바 4종 골라담기,"아이스크림/바(막대)/구성: 따옴바 납작복숭아, 패션프루트, 딸기, 사과 x 30개"
빙그레 따옴바 5종+,아이스크림
빙그레 따옴바 5종세트 /아이스크림,아이스크림
빙그레 따옴바 5종 혼합,
빙그레 따옴바 납작복숭아,아이스크림/바(막대)
빙그레 따옴바 납작복숭아/딸기/수박/패션프루트/파인애플/ 바 아이스크림,아이스크림
빙그레 따옴바 딸기,아이스크림/바(막대)
빙그레 따옴바 사과,아이스크림/바(막대)
빙그레 따옴바 수박,아이스크림
빙그레 따옴바 수박 바 아이스크림,아이스크림
빙그레 따옴바 파인애플,아이스크림/바(막대)
빙그레 따옴바 패션프루트,아이스크림/바(막대)
빙그레 따옴바 포도,아이스크림/바(막대)
빙그레 따옴바 혼합5종 각1세트,
빙그레 따옴바패션프루트,아이스크림
빙그레 떡 붕어싸만코,아이스크림/샌드
빙그레 떡붕어 싸만코,"아이스크림/150ml/인증정보: HACCP/
[영양정보] 표시기준분량: 150ml/열량: 220kcal/탄수화물: 37g/당류: 24g/단백질: 2g/지방: 7g/포화지방: 6g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 80mg"
빙그레 떡붕어싸만코+ 슈크림 붕어싸만코혼합 기획팩,아이스크림/샌드
빙그레 라이언바 자두맛,아이스크림/바(막대)/1회 제공량 70ml당 열량: 70kcal/나트륨: 25mg/탄수화물: 17g/당류: 13g/지방: 0.4g/트랜스지방: 0g/포화지방: 0.3g/콜레스테롤: 0mg/단백질: 0g
빙그레 링키바입 X/딸기/초코/쿠앤크,아이스크림
빙그레 링키바,아이스크림
빙그레 메로나아이스크림,아이스크림
빙그레 메로나+까페오레,아이스크림
빙그레 메로나+메로나 망고,아이스크림
빙그레 메로나+비비빅 팥,아이스크림
빙그레 메로나+비비빅 흑임자,아이스크림
빙그레 메로나+엔초,아이스크림
빙그레 메로나+요맘때 딸기,아이스크림
빙그레 메로나+요맘때 복숭아,아이스크림
빙그레 메로나+요맘때 플레인,아이스크림
빙그레 메로나+카카오 라이언바 자두,아이스크림
빙그레 메로나+카카오 무지바 청포도,아이스크림
빙그레 메로나+카카오 어피치바 복숭아,아이스크림
빙그레 메로나+캔디바,아이스크림
빙그레 메로나+쿠앤크바,과자/초콜릿/디저트/아이스크림/빙수/아이스크림
빙그레 메로나 3종,아이스크림/바(막대)/구성: 메로나 80g x 10개+메로나 망고 80g x 10개+메로나 바나나 80g x 10개
빙그레 메로나 3종메론 망고 바나나 택,
빙그레 메로나 3종멜론/망고/바나나 아이스크림,아이스크림
빙그레 메로나,아이스크림/바(막대)/용량 리뉴얼로 판매자의 재고 상황에 따라 75ml or 80ml 상품이 배송될 수 있습니다.
빙그레 메로나입,아이스크림/바(막대)
빙그레 메로나 망고,아이스크림/바(막대)
빙그레 메로나 메로나한박스 드라이아이스 최신제조일자,아이스크림
빙그레 메로나 메론+메로나 망고+메로나 바나나,아이스크림/바(막대)
빙그레 메로나 메론+망고+바나나,아이스크림
빙그레 메로나 바나나,아이스크림/바(막대)
빙그레 메로나 빙그레 카페오레바입 아이스크림,
빙그레 메로나 아이스크림 세트,아이스크림
빙그레 메로나 오리지널,
빙그레 메로나+ 비비빅+ 쿠앤크바 아이스크림 혼합,
빙그레 메로나바+쿠앤크바+엔초바+까페오레바,아이스크림
빙그레 무지바 청포도맛,아이스크림/바(막대)/특징: 한박스/1회 제공량 70ml당 열량: 75kcal/나트륨: 20mg/탄수화물: 18g/당류: 13g/지방: 0.4g/트랜스지방: 0g/포화지방: 0.3g/콜레스테롤: 0mg/단백질: 0g
빙그레 베스트 컬렉션 메로나입 + 비비빅입 + 누가바입 + 쌍쌍바입 세트,아이스크림/바(막대)/구성: 쌍쌍바 5개
빙그레 붕어 싸만코 초코,"아이스크림/150ml/알레르기성분: 대두, 밀, 우유/표시기준분량: 150ml/열량: 210kcal/탄수화물: 35g/당류: 24g/단백질: 2g/지방: 7g/포화지방: 6g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 80mg"
빙그레 붕어싸만코세트 떡+초코,샌드
빙그레 붕어싸만코 3종떡+호두+초코,샌드
빙그레 붕어싸만코 3종 떡 초코 호두 아이스크림붕어싸만코떡+초코+호두,샌드
빙그레 붕어싸만코 4종 혼합,아이스크림/클래식6개/녹차6개/밤6개/떡6개
빙그레 붕어싸만코 떡+빵또아 소프트,샌드
빙그레 붕어싸만코 떡+초코+빵또아 소프트,아이스크림
빙그레 붕어싸만코 떡+초코,샌드
빙그레 붕어싸만코 빵또아아이스크림,아이스크림/샌드
빙그레 붕어싸만코 빵또아 5종+,샌드
빙그레 붕어싸만코 빵또아 9+9 골라담기 아이스크림,샌드
빙그레 붕어싸만코/빵또아 9+9구성,샌드
빙그레 붕어싸만코/빵또아/시모나/아이스크림,샌드
빙그레 붕어싸만코빵또아 5종,샌드
빙그레 붕어싸만코빵또아시모나 10+10+골라담기 떡호두소프트,샌드
빙그레 비비빅+쿠앤크+캔디바+까페오레,아이스크림
빙그레 비비빅,아이스크림/바(막대)
빙그레 비비빅입,아이스크림/바(막대)
빙그레 비비빅 흑임자,아이스크림/바(막대)
빙그레 비비빅 흑임자 인절미 아이스크림,아이스크림
빙그레 빙그레 카페오레바 아이스크림,
빙그레 빙그레 프리미엄아이스크림 끌레도르,
빙그레 빙그레 해태 4종 세트 메로나+ 쿠앤크바+ 폴라포 포도+ 누가바,아이스크림
빙그레 빙그레슈크림 붕어싸만코,"아이스크림/샌드/150ml/알레르기성분: 대두, 밀, 계란, 우유/냉동보관/표시기준분량: 150ml/열량: 200kcal/탄수화물: 31g/당류: 20g/단백질: 3g/지방: 7g/포화지방: 6g/트랜스지방: 0.5g 미만/콜레스테롤: 30mg/나트륨: 70mg"
빙그레 빙그레제과 요맘때 그릭콘 플레인 아이스크림 1Box,콘
빙그레 빵또아,아이스크림/샌드/특징: 한박스
빙그레 빵또아부드러운/딸기초코케이크/초코쿠앤크 3종 아이스크림,샌드
빙그레 빵또아 3종 부드러운/딸기초코케이크/초코쿠앤크 아이스크림빵또아 초코쿠앤크,샌드
빙그레 빵또아 딸기초코케이크,샌드
빙그레 빵또아 레드벨벳,아이스크림/샌드/특징: 한박스
빙그레 빵또아 부드러운,"아이스크림/180ml/
[영양정보] 표시기준분량: 180ml/열량: 200kcal/탄수화물: 34g/당류: 23g/단백질: 3g이하/지방: 6g/포화지방: 5g/트랜스지방: 0g/콜레스테롤: 30mg이하/나트륨: 150mg"
빙그레 빵또아 부드러운 레드벨벳 2종아이스크림,아이스크림/샌드
빙그레 빵또아 슈팅스타,아이스크림/샌드/특징: 한박스
빙그레 빵또아 클래식레드벨벳소프트,샌드
빙그레 빵또아초코쿠앤크,아이스크림
빙그레 빵또아황치즈케이크,아이스크림
빙그레 뽕따 소다한박스 아이스크림,
빙그레 뽕따 소다맛,아이스크림/튜브(쭈쭈바)
빙그레 뽕따 소다맛+ 더위사냥,아이스크림
빙그레 생귤탱귤 감귤,아이스크림/바(막대)
빙그레 생귤탱귤 제로 감귤,아이스크림/바(막대)/제로슈거/70ml/냉동보관/탄수화물: 3%/나트륨: 10mg
빙그레 생귤탱귤바 바 아이스크림,아이스크림
빙그레 슈퍼콘세트 / 아이스크림,아이스크림
빙그레 슈퍼콘 4종붕바스틱,콘
빙그레 슈퍼콘 민트초코/아이스크림,콘
빙그레 슈퍼콘 민트초코칩,아이스크림/콘/특징: 한박스
빙그레 슈퍼콘 초코+요맘때 콘 플레인,콘
빙그레 슈퍼콘 초코,아이스크림/콘/특징: 한박스
빙그레 슈퍼콘 쿠앤크,아이스크림/콘
빙그레 슈퍼콘/부라보콘/요맘때 15+골라담기 슈퍼콘 초코_부라보콘 바닐라,
빙그레 슈퍼콘초코아이스크림,콘
빙그레 슈퍼콘초코 유산슬,아이스크림/콘
빙그레 아이스크림 4종,아이스크림
빙그레 아이스크림 골라담기,아이스크림
빙그레 아이스크림 메로나10+비비빅10+까페오레10+캔디바10,아이스크림
빙그레 아이스크림 메로나8+바밤바8+누가바8+엔초8+요맘딸기8,
빙그레 아이스크림 비비빅10+쿠앤크10+캔디바10+요맘때딸기10,아이스크림
빙그레 아이스크림 슈퍼콘 부라보콘 10+10+골라담기,콘
빙그레 아이스크림 슈퍼콘 요맘때콘 6종/맛별로씩 초등 중등 간식 별미 학원 유치원 야유회,콘
빙그레 아이스크림 요맘때 콘 그릭 플레인,콘
빙그레 아이스크림 요맘때 콘 슈팅스타,콘
빙그레 아이스크림 카카오 라이언바 자두맛,아이스크림
빙그레 아이스크림 투게더 스트로베리밀크,아이스크림
빙그레 아이스크림 투게더 프럴린아몬드,아이스크림
빙그레 아이스크림 해태 폴라포 3종입 맛별로씩,아이스크림
빙그레 아이스크림/쌍쌍바외7종드라이아이스+최신제조일,아이스크림
빙그레 야채타임 x상큼한 원료 토마토 양파,
빙그레 어피치바 복숭아맛,"아이스크림/70ml/저지방/알레르기성분: 복숭아/
[영양정보] 표시기준분량: 70ml/열량: 75kcal/탄수화물: 17g/당류: 14g/단백질: 0g/지방: 0.5g/포화지방: 0.4g/트랜스지방: 0g/콜레스테롤: 0mg/나트륨: 25mg"
빙그레 엑설런트아이스크림,아이스크림
빙그레 엑설런트프리미엄 아이스크림,아이스크림
빙그레 엑설런트,아이스크림/800ml/표시기준분량: 100ml/열량: 135kcal/탄수화물: 12g/당류: 12g/단백질: 2g/지방: 9g/포화지방: 6g/트랜스지방: 0.4g/콜레스테롤: 13%/나트륨: 50mg
빙그레 엑설런트 딸기소다향 캐치티니핑아이스크림,아이스크림
빙그레 엑설런트 오리지널+엑설런트 캐치티니핑/아이스,아이스크림
