Id,Name,Type,Price,Mall,Timestamp
롯데푸드 파스퇴르 바른목장 소화가 잘되는 우유 2.3L 1개,"1,000원/100ml",23000,1몰,,
롯데푸드 파스퇴르 강원청정목장우유 180ml 24개,606원/100ml,26200,1몰,,
매일유업 상하목장 유기농우유 750ml 2개,709원/100ml,10630,1몰,,
이담 산양우유 150ml x 7팩,"7,233원/100ml",10850,1몰,,
서울우유 나100우유 300ml 8개,530원/100ml,12720,1몰,,
이담 이슬담은 산양우유 750ml 2개,877원/100ml,13150,1몰,,
롯데푸드 파스퇴르 유기농우유 125ml 48팩 멸균우유,"33,104원/100ml",41380,6몰,,
롯데푸드 파스퇴르 후레쉬우유 900ml,919원/100ml,8270,1몰,,
연세유업 가스파드 마카다미아초코 우유 190mL 96팩 연세 멸균,"30,384원/100ml",57730,8몰,,
매일유업 매일우유 커피맛 200ml x 24팩 + 딸기맛 200ml x 24팩,344원/100ml,33070,1몰,,흰우유/포장형태: 팩/특징: 멸균우유
오틀리 바리스타 에디션 귀리음료 1L 6개,470원/100ml,28200,3몰,,가공우유
매일유업 멸균 저지방 1프로우유 200ml 48팩,"17,545원/100ml",35090,4몰,,
"연세유업 국제인증 받은 유기농 우유, 140ml, 24입, 1개","16,900원/100ml",23660,1몰,,포장형태: 팩
동원F&B 덴마크 무항생제 멸균우유 120ml 32팩 1세트,"15,558원/100ml",18670,1몰,,
매일유업 멸균 딸기 초코 커피우유 200ml 48팩 택1,"16,170원/100ml",32340,8몰,,
비락 멸균 올바른클래식우유 200ml 24팩,"13,200원/100ml",26400,1몰,,포장형태: 팩
서울우유 삼각커피우유 200ml 10개,585원/100ml,11700,1몰,,
연세유업 연세 유기농우유 190ml 48팩 멸균우유,"47,468원/100ml",90190,1몰,,포장형태: 팩
서울우유 초코우유 300ml 5개,811원/100ml,12160,1몰,,포장형태: 팩/300ml
매일유업 멸균우유 초코+딸기 200ml 각 24팩 총48팩,"18,915원/100ml",37830,4몰,,
이담 산양우유 150ml 5개,"1,033원/100ml",7750,4몰,,포장형태: 페트
