2024-10-17 12:57:57
18934328,송원식품 파밍 프리미엄 생강차 100T,1,24140,19몰,2개,생강차/스틱형/총량: 100T/1T당: 15g
61725290,담터 전통차 모음전 50T 쌍화차.생강차.율무차.천마차,,11490,2몰,,
18847931,조은약초 우엉차 삼각티백 100T,1,14620,7몰,1개,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
18847949,조은약초 우엉차 삼각티백 100T,2개,26870,2몰,134원/1T,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
18989351,조은약초 우엉차 삼각티백 100T,2,41920,4몰,3개,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
18989369,조은약초 우엉차 삼각티백 100T,5개,66680,4몰,133원/1T,우엉차/티백형/총량: 100T/원산지: 국내산/1T당: 1g
18811940,비케이얼라이언스 고이담아 유기농 우엉차 70g,1,9930,1몰,1개,우엉차/원물(잎차)/원산지: 국내산
18811961,비케이얼라이언스 고이담아 유기농 우엉차 70g,2,18940,1몰,2개,우엉차/원물(잎차)/원산지: 국내산
18811895,비케이얼라이언스 고이담아 유기농 레드비트차 60g,1개,12740,1몰,"2,123원/10g",기타 차/원물(잎차)/원산지: 국내산
18811754,라온두레 갈아만든 생강차 1kg,2,17600,29몰,1개,생강차/액상
18811784,라온두레 갈아만든 생강차 1kg,1,31860,31몰,2개,생강차/액상
18781745,조은약초 호박 팥 삼각티백 100T,2,14420,4몰,1개,호박팥차/티백형/총량: 100T/1T당: 1g
18781832,조은약초 호박 팥 삼각티백 100T,1,41920,4몰,3개,호박팥차/티백형/총량: 100T/1T당: 1g
18781868,조은약초 호박 팥 삼각티백 100T,5개,67590,4몰,135원/1T,호박팥차/티백형/총량: 100T/1T당: 1g
18781232,조은약초 여주 돼지감자 차 삼각티백 100T,1,13890,7몰,1개,돼지감자차/티백형/총량: 100T/1T당: 1g
18781274,조은약초 여주 돼지감자 차 삼각티백 100T,2,42200,4몰,3개,돼지감자차/티백형/총량: 100T/1T당: 1g
18781301,조은약초 여주 돼지감자 차 삼각티백 100T,5개,67960,3몰,136원/1T,돼지감자차/티백형/총량: 100T/1T당: 1g
18780848,조은약초 양파껍질 차 100T,1,14130,8몰,1개,"기타 차/티백형/총량: 100T/1T당: 0,8g"
18780893,조은약초 양파껍질 차 100T,2개,27810,3몰,139원/1T,"기타 차/티백형/총량: 100T/1T당: 0,8g"
18780944,조은약초 양파껍질 차 100T,2,41920,7몰,3개,"기타 차/티백형/총량: 100T/1T당: 0,8g"
18780968,조은약초 양파껍질 차 100T,5개,67590,7몰,135원/1T,"기타 차/티백형/총량: 100T/1T당: 0,8g"
45311411,인산죽염 죽염 천마차 20gx80포 2박스 인산 천마차 콘푸레이크,,59990,2몰,,천마차/스틱형
18574583,쌍계명차 일상다완 허니플라워 생강 260g,1개,18400,1몰,708원/10g,생강차/액상
