2024-10-17 13:22:40
29629676,베노프하우스 소프트바 그린티 10개입 600g,1개,41100,2몰,685원/10g,"에너지바/10개입/저당/600g/알레르기성분: 대두, 우유, 그 외/
[영양정보] 표시기준분량: 60g/열량: 169kcal/탄수화물: 28g/당류: 2g/단백질: 20g/지방: 3g/포화지방: 0.5g/트랜스지방: 0g/콜레스테롤: 5mg 미만/나트륨: 180mg"
62561399,마즈(MARS) 트윅스 미니스 1.4kg,3개,86970,1몰,207원/10g,"초콜릿/초코바/1.4kg/파우치형/알레르기성분: 대두, 밀, 우유/실온보관/설탕,영양강화밀가루,콘시럽,탈지유,코코아버터,코코아매스/표시기준분량: 30g/열량: 145kcal/탄수화물: 20g/당류: 15g/단백질: 1g/지방: 7g/포화지방: 4g/트랜스지방: 0g/콜레스테롤: 5mg/나트륨: 55mg"
29375894,코스트코 커클랜드 프로틴바 버라이어티 팩 10개입 600g,1개,22560,2몰,376원/10g,"프로틴바/사무실간식(소포장)/
[영양정보] 1회 제공량 60g당 열량: 193kcal/탄수화물: 23g/당류: 1g/단백질: 21g/지방: 7g/포화지방: 2.5g/트랜스지방: 0.5g미만/콜레스테롤: 5mg/나트륨: 170mg"
45427892,롯데웰푸드 롯데 허쉬 밀크 초콜릿미니사이즈165g 10 무,,39040,1몰,,초코바
29166746,엄마사랑 오늘든든 고단백 하루견과 에너지바 25g,1,39900,3몰,30개,에너지바/25g
29135555,엄마사랑 오늘든든 고단백 하루견과 에너지바 25g,2,59900,2몰,60개,에너지바/25g
28837409,켈로그 첵스 초코펀 오리지널바 25g,4개,5500,1몰,550원/10g,에너지바/사무실간식(소포장)
31069814,커클랜드 시그니춰 프로틴 바 60g 20ct 400개,,15118800,1몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
29846453,퀘스트뉴트리션 히어로 프로틴 단백질 바 초콜릿 카라멜 피칸 60g 4개입,,23670,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
53415023,켈로그 에너지바 다크초코씨솔트 30g 12개입 1박스,,14500,1몰,,에너지바
29904821,켈로그 에너지바 K 레드베리 25g 30개,,17500,1몰,,에너지바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
28518584,일동후디스 하이뮨 프로틴 밸런스 단백질 바 300g,2,12290,10몰,1개,프로틴바
28518626,일동후디스 하이뮨 프로틴 밸런스 단백질 바 300g,2개,21050,10몰,351원/10g,프로틴바
28518632,일동후디스 하이뮨 프로틴 밸런스 단백질 바 300g,1,27300,9몰,3개,프로틴바
32019494,퍼니엠 다신샵 단백할시간 초코퍼지 3박스 24개입,,47160,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
31384943,퍼니엠 다신샵 단백할시간 솔티드 피넛버터 3박스 24개입,,47160,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
30246659,퍼니엠 다신샵 단백할시간 5종 블랙+화이트+카카오+피넛버터+초코퍼지 5박스 44개입,,66510,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
30119051,퍼니엠 다신샵 단백할시간 솔티드 피넛버터 1박스 8개입,,17010,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
29609735,퍼니엠 다신샵 단백할시간 초코퍼지 1박스 8개입,,17010,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
28415894,켈로그 프로틴바 헤이즐넛 다크초코 12개입 480g,1,15130,4몰,1개,프로틴바
28415924,켈로그 프로틴바 헤이즐넛 다크초코 12개입 480g,2,29000,2몰,2개,프로틴바
28212251,해태제과 자유시간 미니 480g,1,7530,7몰,1개,초코바
28212404,해태제과 자유시간 미니 480g,2개,14620,14몰,152원/10g,초코바
28213592,해태제과 자유시간 미니 480g,3개,26450,13몰,184원/10g,초코바
28213598,해태제과 자유시간 미니 480g,5개,48500,3몰,202원/10g,초코바
28213610,해태제과 자유시간 미니 480g,2,41370,19몰,6개,초코바
29167964,해태제과 자유시간 미니 480g,4개,37100,1몰,193원/10g,초코바
51806918,그래놀라하우스 애플시나몬 500g 수제그래놀라 대용량_erz,,23280,3몰,,초코바
29166167,이그니스 랩노쉬 단백쿠키바 밀크티 35g 12개,,15360,1몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
52149479,롯데 Abc 초코쿠키 50g,18개,26600,1몰,,초코바
31454855,오리온 닥터유 프로단백질바 크런치 한입쏙 34p 420g 3개,,32660,8몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
30156218,오리온 닥터유 프로단백질바 크런치 한입쏙 34p 420g 1개,,12890,21몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
29974187,오리온 닥터유 프로단백질바 크런치 한입쏙 34p 420g 2개,,23940,7몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
29796206,퍼니엠 다신샵 단백할시간 블랙 4박스 40개입,,46510,1몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/에너지바
45427949,퀘스트뉴트리션 프로틴바 초콜릿 피넛버터 12p 720g,1개,36790,2몰,511원/10g,에너지바
45428180,페레로 라파엘로 화이트 코코넛 초콜릿볼 대용량 4개입 16팩,,30216,4몰,,초코바
30620393,오리온 닥터유 단백질바 주머니쏙 408g 4개,,59100,2몰,,프로틴바/과자/초콜릿/디저트/시리얼/에너지바/시리얼
65895269,하림 피플러스 닭가슴살 단백질바 너츠 46g,8개,12920,4몰,351원/10g,"프로틴바/46g/알레르기성분: 대두, 땅콩, 우유, 닭고기/표시기준분량: 46g/열량: 230kcal/탄수화물: 18g/당류: 8g/단백질: 12g/지방: 12g/포화지방: 3g/트랜스지방: 0g/콜레스테롤: 2.3mg/나트륨: 120mg"
29153480,하림 피플러스 닭가슴살 단백질바 베리 40g,16개,35200,3몰,550원/10g,"프로틴바/40g/알레르기성분: 대두, 땅콩, 우유, 닭고기/
[영양정보] 표시기준분량: 40g/열량: 170kcal/탄수화물: 19g/당류: 12g/단백질: 12g/지방: 4.8g/포화지방: 3.3g/트랜스지방: 0g/콜레스테롤: 1.4mg/나트륨: 200mg"
36813653,해태제과 자유시간 리얼초코 36gx12개+아몬드 36gx12개 총24개,,23410,2몰,,초코바
